phrase_name,keyword_1_phrase,keyword_2_phrase,exeption_phrase,caseSens,destinationkeywordcolumn
scikit_learn,scikit,learn,,1,scikit_learn
big_data,big,data,,1,big_data
data_mining,data,mining,,1,data_mining
framework_manager,framework,manager,,1,framework_manager
business_objects,business,objects,,1,business_objects
business_intelligence,business,intelligence,,1,business_intelligence
data_warehouse,data,warehouse,,1,data_warehouse
red_hat,red,hat,,1,red_hat
operations_research,operations,research,,1,operations_research
machine_learning,machine,learning,,1,machine_learning
uczenie_maszynowe,Uczeni[[:alnum:]]{1},maszynow,,1,machine_learning
sentiment_analysis,sentiment,analysis,,1,sentiment_analysis
web_scrapping,web,scrap,,1,web_scrapping
opinion_mining,opinion,mining,,1,opinion_mining
my_sql,my,sql,,1,my_sql
ms_sql,ms,sql,,1,ms_sql
sql_server,sql,server,,1,ms_sql
microsoft_access,microsoft,access,,1,microsoft_access
ms_access,ms,access,,1,ms_access
elastic_search,elastic,search,,1,elastic_search
file_maker,file,maker,,1,file_maker
amazon_dynamo_db,dynamo,db,,1,amazon_dynamo_db
fire_bird,fire,bird,,1,fire_bird
greenplam,green,plam,,1,greenplam
red_shift,red,shift,,1,red_shift
mark_logic,mark,logic,,1,mark_logic
hazel_Cast,hazel,cast,,1,hazel_Cast
inter_base,inter,base,,1,inter_base
big_query,big,query,,1,big_query
aero_spike,aero,spike,,1,aero_spike
hyper_sql,hyper,sql,,1,hyper_sql
jack_rabbit,jack,rabbit,,1,jack_rabbit
gem_fire,gem,fire,,1,gem_fire
google_search_appliance,google,Search[[:space:]]?[[:punct:]]?[[:space:]]?appliance,,1,google_search_appliance
amazon_simple_db,simple,db,,1,amazon_simple_db
rrd_tool,rrd,tool,,1,rrd_tool
max_db,max,db,,1,max_db
times_ten,times,ten,,1,times_ten
amazon_cloud_search,cloud,search,,1,amazon_cloud_search
mem_sql,mem,sql,,1,mem_sql
pouch_db,pouch,db,,1,pouch_db
open_edge,open,edge,,1,open_edge
teradata_aster,teradata,aster,,1,teradata_aster
cloud_kit,cloud,kit,,1,cloud_kit
level_db,level,db,,1,level_db
arango_db,arango,db,,1,arango_db
percona_server,percona,server,,1,percona_server
opents_db,opents,db,,1,opents_db
volt_db,volt,db,,1,volt_db
ibm_dash_db,dash,db,,1,ibm_dash_db
enterprise_db,enterprise,db,,1,enterprise_db
par_accel,par,accel,,1,par_accel
monet_db,monet,db,,1,monet_db
red_brick,red,brick,,1,red_brick
object_store,object,store,,1,object_store
google_cloud_datastore,google,cloud[[:space:]]?[[:punct:]]?[[:space:]]?datastore,,1,google_cloud_datastore
grid_gain,grid,gain,,1,grid_gain
data_ease,data,ease,,1,data_ease
objective_c,objective,c,,1,objective_c
obj_c,obj,c,,1,obj_c
java_script,java,script,,1,java_script
google_analytics,google,analytics,,1,google_analytics
data_quality,data,quality,,1,data_quality
KPI2,performance,indicat,,1,KPI
Time_series1,time,series,,1,Time_series
Time_series2,szereg[[:alpha:]]?(ami)?(ów)?(om)?(ach)?,czasowych,,1,Time_series
GemiusPrism2,gemius,prism,,1,GemiusPrism
Quantitative_methods1,quantitative,method,,1,Quantitative_methods
Quantitative_methods2,metod(ami)?(ach)?(om)?,ilościow,,1,Quantitative_methods
Data_analysis1,data,anal[iy]si,,1,Data_analysis
Data_analysis2,data,interpret,data[[:punct:]][[:space:]]?interpret,1,Data_analysis
Data_analysis3,analiz[[:alpha:]]?(owanie)?,dany,,1,Data_analysis
