phrase_name,keyword_phrase,exeption_phrase, caseSens, context_ToF,destinationkeywordcolumn
imap,imap,,1,0,imap
PL_SQL,PL/SQL,,1,0,PL_SQL
mathematica,Mathematica,Mathematical,1,0,mathematica
matlab,Matlab,,1,0,matlab
torch7,torch7,,1,0,torch7
theano,theano,,1,0,theano
DL4J,DL4J,,1,0,DL4J
NLTK,NLTK,,1,0,NLTK
uima,UIMA,,1,0,uima
olap,OLAP,,1,0,olap
etl,ETL,świetl|owietlenia|metlife|Dietla|Gretl|Svietlan|swietl|Retlux|letniej|marketleverage|priorytetlubisz,1,0,etl
C,[[:punct:]]C[[:punct:]]|C[[:punct:]]|[[:punct:]]C|^C$,C\#|[^C][[:lower:][:punct:]]{1!}C\+\+|^[[:upper:]]{0!}C\+\+|S.C.|I.I.C.|I.D.C.|C.Spaarmann|CPL|SCC|CCNA|QC|TEC|Cisco|WBC|C1|C2|GDPC|C.Ze|C.H.|CV|C.V.|WC|(C\+E)|CSS|MVC|IC|CNC|ITC|EMC|CAD|CAM|PLC|MAC|CCC|ACC|HVAC|CIT|PC|PVC|HRC|CPC|RTC|OSC|PwC|KC|B2C|CRO|OTC|MVC|FC|UPC|CLIC|CF|P.P.C.|BRC|HPDC|C[[:lower:]]{1!}|CC|C\&C|02C|CALL|CO|AC/DC|PoC|CRD|MBC|RC|IEC|AC|CAP|BSC|DBC|NAC|C\&B|CTRL|COREP|SC|BC|EC|MC|B!C!E|CIM|ZC|UTC|TPC|SDLC|SMSC|CHW|[[:upper:]]{1!}C|C[[:upper:]]{1!}|I\&C|57C|I/C|OtC|SK/C|B4C|[[:upper:]]{1!}[[:digit:]]{1!}C|C[[:upper:]]{1!}[[:digit:]]{1!}|S\&C|[[:digit:]]{2!}|C[[:punct:]][[:upper:]]$|C[[:punct:]][[:upper:]][[:punct:]]$|C[[:punct:]][[:lower:]]$|[[:upper:]][[:punct:]]C$|^C[[:punct:]][[:upper:]][[:punct:]][[:lower:]]|C[[:digit:]][[:upper:]]|IoC|C[[:space:]]?[[:punct:]]?[[:space:]]?PLANE|NIP[[:space:]]?[[:punct:]]?[[:space:]]?C|C[[:space:]]?[[:punct:]]?[[:space:]]?[Ff]ood|C[[:space:]]?[[:punct:]]?[[:space:]]?[Ss]uite|C[[:space:]]?[[:punct:]]?[[:space:]]?geo|C[[:space:]]?[[:punct:]]?[[:space:]]?ELSEN|C[[:space:]]?[[:punct:]]?[[:space:]]?[Ss]eries|C[[:space:]]?[[:punct:]]?[[:space:]]?THRU|C[[:space:]]?[[:punct:]]?[[:space:]]?[Ss]harp|C[[:space:]]?[[:punct:]]?[[:space:]]?[Ll]evel|C[[:space:]]?[[:punct:]]?[[:space:]]?[Cc]ase|C[[:space:]]?[[:punct:]]?[[:space:]]?TPAT|C[[:space:]]?[[:punct:]]?[[:space:]]?[Mm]ap|C.A.R.U.S|C[[:space:]]?[[:punct:]]?[[:space:]]?[Pp]lane|C[[:space:]]?[[:punct:]]?[[:space:]]?[Ff]irm|C[[:space:]]?[[:punct:]]?[[:space:]]?[Ss]at,0,0,C
C_sharp,[[:punct:]]C#[[:punct:]]|C#[[:punct:]]|[[:punct:]]C#|^C#$,,0,0,C_sharp
C_pp,[[:punct:]]C\+\+[[:punct:]]|C\+\+[[:punct:]]|[[:punct:]]C\+\+|^C\+\+$|[[:punct:]]Cpp[[:punct:]]|Cpp[:punct:]]|[[:punct:]]Cpp|^Cpp$,,1,0,C_pp
dot_net,\.Net,,1,0,dot_net
